distance,threshold
-1270.54,74308.8
-1252.51,72405
-1234.47,70528.1
-1216.43,68677.4
-1198.4,66854.1
-1180.36,65057
-1162.32,63286.1
-1144.29,61542.1
-1126.25,59824.3
-1108.22,58132.1
-1090.18,56466.2
-1072.14,54825.8
-1054.11,53211.2
-1036.07,51622.7
-1018.04,50058.7
-1000,48520.9
